lens,layer,relative_depth,site,condition,sign_consistency_z,permutation_p,displacement,control_displacement,specificity,beats_random_lens
clens,-1,,last_token,clean_heldout,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,encode_only,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,flatten_only,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,normalize,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,opaque_only,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,rename_cumulative,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,rename_only,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,rename_opaque,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,rename_opaque_encode,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,rename_opaque_encode_flatten,0.0,1.0,0.5,0.5,1.0,False
clens,0,0.0,last_token,clean_heldout,0.4861111111111111,0.642,0.013888888888888895,0.05555555555555558,0.25,False
clens,0,0.0,last_token,encode_only,0.5138888888888888,0.822,0.01388888888888884,0.013888888888888895,0.999999999999996,False
clens,0,0.0,last_token,flatten_only,0.5138888888888888,0.582,0.01388888888888884,0.041666666666666685,0.333333333333332,False
clens,0,0.0,last_token,normalize,0.4861111111111111,0.764,0.013888888888888895,0.013888888888888895,1.0,False
clens,0,0.0,last_token,opaque_only,0.4722222222222222,0.566,0.02777777777777779,0.013888888888888895,2.0,True
clens,0,0.0,last_token,rename_cumulative,0.5416666666666666,0.964,0.04166666666666663,0.02777777777777779,1.499999999999998,True
clens,0,0.0,last_token,rename_only,0.4861111111111111,0.49,0.013888888888888895,0.05555555555555558,0.25,False
clens,0,0.0,last_token,rename_opaque,0.3888888888888889,0.0,0.1111111111111111,0.0,,False
clens,0,0.0,last_token,rename_opaque_encode,0.6111111111111112,0.0,0.11111111111111116,0.041666666666666685,2.6666666666666665,True
clens,0,0.0,last_token,rename_opaque_encode_flatten,0.5,0.464,0.0,0.04166666666666663,0.0,False
clens,3,0.1034,last_token,clean_heldout,0.4861111111111111,0.686,0.013888888888888895,0.01388888888888884,1.000000000000004,True
clens,3,0.1034,last_token,encode_only,0.6111111111111112,0.02,0.11111111111111116,0.02777777777777779,4.0,True
