gate,meaning,owner_stage,recorded,passed,value,override,detail,superseded
H0,"the four-program factorial verifies: invariants, alignment, execution truth",101_binding_verify,True,True,1.0,False,"1.0000 of 400 bases agree with an independent interpreter and satisfy every invariant, including the arm crossing that makes the held-out test a falsification (threshold 0.999). Per check: semantics_agree 1.0000, arms_crossed 1.0000, mutation_distance_ok 1.0000, anchors_ordered 1.0000, values_distinct 1.0000, tokens_distinct 1.0000",False
H1,the model returns the correctly bound variable (behavioural accuracy),102_binding_behaviour,True,True,0.98125,False,"overall 0.981 [0.973, 0.988] against 0.85; weakest cell ab_target 0.954 against 0.75",False
H2,which definition is in scope is decodable at the use anchor,104_binding_decode,True,True,1.0,False,best layer 7: binding decodable at 1.000 (selectivity 0.519) against a MEASURED surface baseline of 0.500; margin +0.500. Thresholds 0.8 and 0.1. The floor is pinned by construction here: the anchor token is identical across the counterfactual and the mutation is outside the baseline's window.,False
H3,"whole-state interchange flips the answer — the ceiling, per arm",105_binding_ceiling,True,True,1.745535714259105,False,"site use, layer 11 (both chosen on calibration): ab: +1.729 [+1.671, +1.788], flip rate 0.659; ba: +1.762 [+1.704, +1.820], flip rate 0.662 (thresholds: CI above 0.0, flip rate 0.25). Both arms must be measurable or an H5 null says nothing.",False
H4,low-rank interchange beats matched controls on the TRAINING arm,106_binding_interchange,True,True,4.3397114556449745,False,"ab @ use L11 r1: +7.512 [+7.437, +7.586] = 434% of the whole-state ceiling +1.731 (threshold 50%); controls cleared: True; edit moved 0.478 of ||h||",False
H5,"the same subspace transfers to the HELD-OUT value assignment, where an answer direction cannot",106_binding_interchange,True,True,1.4854111405835542,False,"ba @ use L11 r1: das_binding installed 100.0% = 149% of the held-out ceiling (threshold 50%); margin +7.528 [+7.454, +7.597] = 427% of it; discriminator — answer_direction ab +1.674 [+1.512, +1.827], installed 44.8% (passes: True); ba/ab argmax ratio 0.410 against transport's 0.979 (bar 0.490) (fails: True)",True
H6,"the relevance readout is mechanically sound: the LRP rules actually installed so relevance conserves, the token roles partition every token exactly once, the per-role deltas close to the difference of the two conservation ratios, every binding_flip pair differs at exactly one measured token index, the fixed-target conditions really do score both members at one token, and every declared cell exists",140_binding_relevance,False,False,,False,not recorded,False
H7,"the candidate vocabulary is mechanically sound: every declared lexicon pair is kept whole or dropped whole with a reason, enough pairs survive from more than one family, discovery ran on calibration bases only and the frozen file records which, and the candidate set contains the lexicon, the discovered pool and the random controls without duplicates",150_binding_verbal_discover,False,False,,False,not recorded,False
H8,"the forced choice is mechanically sound: every declared (base, cell, question) is scored, the rendered question is identical in all four cells of a base, no question names the inner definition, both choices are distinct single tokens, both variants of every word style ran, and the value positive control ran",151_binding_verbal_behaviour,False,False,,False,not recorded,False
H9,"the verbalisation relevance readout is mechanically sound: H6's checks on the verbalisation prompt, plus a positive-score condition — `R_t / s` is a share only when the score is positive, and conservation holds for negative scores too",152_binding_verbal_relevance,False,False,,False,not recorded,False
H10,"the unprompted vocabulary readout is mechanically sound: every declared lexicon pair kept whole or dropped whole with a reason, the candidate row order the margin arithmetic assumes, all three readouts carrying the same rows with their kinds declared and the random control actually Gram-matched, the scored text being E13's program verbatim with the encodings agreeing through the use position, the use token identical in all four cells, every declared cell present in both arms over the declared layer grid, and the positive control fitted on calibration and read on test",160_binding_lexlens,False,False,,False,not recorded,False
