base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,clean_logit_diff_unbatched,clean_path_shift,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0000,test,ab,source,use,das_binding,12,1,2,4,-1.65625,6.140625,7.796875,-1.65625,0.0,1,1,0,0,0.4435433269801662,14.269919230894178,32.172548571635446,1,False,"H0,H1,H2,H3",False,
base_0000,test,ab,source,use,mean_difference,12,1,2,4,-1.65625,-0.6875,0.96875,-1.65625,0.0,0,0,1,0,0.6690418354709876,21.52478094814648,32.172548571635446,1,False,"H0,H1,H2,H3",False,
base_0000,test,ab,source,use,answer_direction_jlens,12,1,2,4,-1.65625,-1.4375,0.21875,-1.65625,0.0,0,0,1,0,0.4435433269801667,14.269919230894194,32.172548571635446,1,False,"H0,H1,H2,H3",False,
base_0000,test,ab,source,use,answer_direction_rlens,12,1,2,4,-1.65625,-0.8437499403953552,0.8125000596046448,-1.65625,0.0,0,0,1,0,0.44354332698016663,14.269919230894192,32.172548571635446,1,False,"H0,H1,H2,H3",False,
base_0000,test,ab,source,use,answer_direction_unembedding,12,1,2,4,-1.65625,-1.5,0.15625,-1.65625,0.0,0,0,1,0,0.4435433269801662,14.269919230894178,32.172548571635446,1,False,"H0,H1,H2,H3",False,
base_0000,test,ab,source,use,random_rank,12,1,2,4,-1.65625,-1.65625,0.0,-1.65625,0.0,0,0,1,0,0.016092235715565856,0.5177282351852492,32.172548571635446,1,False,"H0,H1,H2,H3",False,
base_0000,test,ab,source,use,random_norm,12,1088,2,4,-1.65625,-1.9375,-0.28125,-1.65625,0.0,0,0,1,0,0.4551331496530556,14.642793363774356,32.172548571635446,1088,False,"H0,H1,H2,H3",False,
base_0000,test,ab,source,use,noop,12,1,2,4,-1.65625,-1.65625,0.0,-1.65625,0.0,0,0,1,0,0.0,0.0,32.172548571635446,1,True,"H0,H1,H2,H3",False,
base_0000,test,ab,source,use,whole_state,12,3072,2,4,-1.65625,-0.375,1.28125,-1.65625,0.0,0,0,1,0,0.7607758703539007,24.476098641089102,32.172548571635446,3072,False,"H0,H1,H2,H3",False,
base_0000,test,ab,source,use,answer_direction_rlens_paperminimal,12,1,2,4,-1.65625,-0.5000000596046448,1.1562499403953552,-1.65625,0.0,0,0,1,0,0.4435433269801666,14.26991923089419,32.172548571635446,1,False,"H0,H1,H2,H3",False,
base_0000,test,ab,target,use,das_binding,12,1,4,2,-0.28125,6.578125,6.859375,-0.28125,0.0,1,1,0,0,0.45304628711370276,14.269919230894178,31.497707048447353,1,False,"H0,H1,H2,H3",False,
base_0000,test,ab,target,use,mean_difference,12,1,4,2,-0.28125,0.6875,0.96875,-0.28125,0.0,1,1,0,0,0.6833761236981065,21.52478094814648,31.497707048447353,1,False,"H0,H1,H2,H3",False,
base_0000,test,ab,target,use,answer_direction_jlens,12,1,4,2,-0.28125,-0.15625,0.125,-0.28125,0.0,0,0,1,0,0.45304628711370326,14.269919230894194,31.497707048447353,1,False,"H0,H1,H2,H3",False,
